City,State,Year,Anti-Jewish,Anti-Islamic,Full,clean,lat,long
Baytown,TX,2011,0,0,Texas,"baytown, texas",29.7355047,-94.9774274
Baytown,TX,2012,0,0,Texas,"baytown, texas",29.7355047,-94.9774274
Baytown,TX,2013,0,0,Texas,"baytown, texas",29.7355047,-94.9774274
Baytown,TX,2014,0,0,Texas,"baytown, texas",29.7355047,-94.9774274
Baytown,TX,2015,0,1,Texas,"baytown, texas",29.7355047,-94.9774274
Houston,TX,2010,0,0,Texas,"houston, texas",29.760583,-95.36968
Houston,TX,2011,0,1,Texas,"houston, texas",29.760583,-95.36968
Houston,TX,2012,1,0,Texas,"houston, texas",29.760583,-95.36968
Houston,TX,2013,0,0,Texas,"houston, texas",29.760583,-95.36968
Houston,TX,2014,1,4,Texas,"houston, texas",29.760583,-95.36968
Houston,TX,2015,1,2,Texas,"houston, texas",29.760583,-95.36968
"Tx St Univ, San Marcos",TX,2010,0,0,Texas,"tx st univ, san marcos, texas",29.888411,-97.938351
"Tx St Univ, San Marcos",TX,2011,0,0,Texas,"tx st univ, san marcos, texas",29.888411,-97.938351
"Tx St Univ, San Marcos",TX,2012,0,0,Texas,"tx st univ, san marcos, texas",29.888411,-97.938351
"Tx St Univ, San Marcos",TX,2013,0,0,Texas,"tx st univ, san marcos, texas",29.888411,-97.938351
"Tx St Univ, San Marcos",TX,2014,1,0,Texas,"tx st univ, san marcos, texas",29.888411,-97.938351
"Tx St Univ, San Marcos",TX,2015,0,0,Texas,"tx st univ, san marcos, texas",29.888411,-97.938351
Beaumont,TX,2010,1,0,Texas,"beaumont, texas",30.086154,-94.101349
Beaumont,TX,2011,0,0,Texas,"beaumont, texas",30.086154,-94.101349
Beaumont,TX,2012,0,0,Texas,"beaumont, texas",30.086154,-94.101349
Beaumont,TX,2013,0,0,Texas,"beaumont, texas",30.086154,-94.101349
Beaumont,TX,2014,0,0,Texas,"beaumont, texas",30.086154,-94.101349
Beaumont,TX,2015,0,1,Texas,"beaumont, texas",30.086154,-94.101349
Ascension,LA,2010,0,0,Louisiana,"ascension, louisiana",30.2017295,-90.9438468
Ascension,LA,2011,0,0,Louisiana,"ascension, louisiana",30.2017295,-90.9438468
